x,y,token
-40.158455,-17.139025,humoured
-55.102997,-21.755253,thoroughly
-26.696583,-32.296513,deserves
52.767525,-32.600502,wife
-43.003326,-25.929169,;--
19.11529,-25.262472,live
-8.049605,-26.921707,us
-14.285427,-30.440166,my
-42.14463,24.6263,odd
-28.906212,-20.268057,humours
-33.767887,-42.447453,might
-19.652119,-41.7674,"?"""
15.0653105,-35.888195,But
15.894016,-4.8183064,where
-52.57014,-14.85841,advantage
-19.621418,-41.861248,?
1.1344329,-22.341352,This
56.453163,16.443703,three
-9.097445,10.848184,times
15.012735,-35.91903,And
-26.62488,-40.67587,dear
-21.496967,-40.696693,"."""
-32.105747,-24.768637,often
-8.312993,-27.247713,we
-32.046978,-42.062428,shall
-16.805899,-34.22557,see
-47.57805,8.1455145,coming
-8.344625,-27.622763,We
-53.85139,4.3708186,meeting
-20.918001,-41.944122,!
-27.637877,-29.810627,begin
-16.130812,-29.936089,go
-34.619946,-34.21304,pay
-2.1689873,-45.132946,My
-25.861053,-39.373867,am
-16.238853,-29.863525,get
12.129455,25.74702,far
-55.556805,3.6781838,Randalls
21.882908,50.70051,distance
21.584753,-32.99077,walk
-26.508307,-41.86151,No
-33.27232,-36.711548,nobody
-14.788807,-31.284904,your
-12.475533,37.153873,walking
-53.085644,6.8409553,carriage
-31.46684,-38.898228,sure
56.047092,-30.218737,James
-32.018406,-42.010994,will
-8.001295,50.415985,like
24.193846,0.54274654,put
52.839024,9.033863,horses
-29.955626,38.451477,are
-9.415744,-30.896757,poor
-11.583234,-7.8960595,while
-51.4942,0.16413073,paying
-7.9901853,-26.901108,our
-8.336577,-27.688549,They
-25.156963,48.683506,into
-26.842714,38.77535,stable
-15.641199,-32.10748,You
-45.763077,1.4018801,already
-46.652435,17.745428,talked
2.526068,11.702597,night
-32.68839,-42.17803,may
-26.533749,-19.225126,because
-44.62261,-29.34599,doubt
-3.6773982,-42.502308,whether
-8.083012,-32.634953,take
-25.147005,-23.687012,anywhere
-34.12149,-37.06759,else
9.317576,-45.07908,That
-41.712353,23.298626,got
53.20611,-23.578806,Hannah
